player,player_id,team_prev,position,age,gp_prev,pts_prev,pred_pts,pred_pts_low,pred_pts_high,reb_prev,pred_reb,pred_reb_low,pred_reb_high,ast_prev,pred_ast,pred_ast_low,pred_ast_high,stl_prev,pred_stl,pred_stl_low,pred_stl_high,blk_prev,pred_blk,pred_blk_low,pred_blk_high,fg3m_prev,pred_fg3m,pred_fg3m_low,pred_fg3m_high,tov_prev,pred_tov,pred_tov_low,pred_tov_high,min_prev,pred_min,pred_min_low,pred_min_high,pred_gp,pred_gp_low,pred_gp_high,fgm_prev,pred_fgm,pred_fgm_low,pred_fgm_high,fga_prev,pred_fga,pred_fga_low,pred_fga_high,ftm_prev,pred_ftm,pred_ftm_low,pred_ftm_high,fta_prev,pred_fta,pred_fta_low,pred_fta_high,pred_fg_pct,pred_ft_pct,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_FG3M,z_TOV,z_FG_PCT,z_FT_PCT,value_total,value_points_league,n_prior_seasons,team_changed,role_change,flags
Nikola Jokić,jokicni01,DEN,C,31.95071868583162,65.0,27.676923076923078,26.77827665026141,23.292158436263062,30.317236342978617,12.861538461538462,12.404419758950482,11.15121986065329,13.637338522854018,10.723076923076922,10.15612503492546,9.258162563274901,11.1195662036432,1.4153846153846155,1.3908502751571028,1.1166313239610952,1.674892053229242,0.8153846153846154,0.8059252860570232,0.5926837826213546,1.0362600473627799,1.7230769230769232,1.6399114617126214,1.1118321897482049,2.2214117292992737,3.7384615384615385,3.6820017282765782,3.2274520614566358,4.1564096880615065,34.84307692307693,34.32674503998959,27.842064896475378,39.79869680076041,64.52115741843295,40.7061510219403,79.856856067616,9.907692307692308,9.90190930113566,8.62476549454587,11.200279137440715,17.415384615384614,17.530761711643486,14.944916689307322,20.20059282243552,6.138461538461539,6.1423200341123785,5.385014853799543,6.9394286511736105,7.384615384615385,7.4110624640159095,6.481539392934022,8.37020640958358,0.564830522712488,0.8288042455364727,2.1860819991782616,3.5218759790004417,3.45799437252841,1.5336454610700172,0.7017666507605655,-0.17567728841025826,-2.82485522569538,3.157689108944249,0.9988324741237643,12.557353531500071,59.80609286875598,2,0,,TOP_TIER_BLEND
Victor Wembanyama,wembavi01,SAS,C,23.077344284736483,64.0,25.0,25.007923201514153,21.521804987515804,28.54688289423136,11.5,11.466669593215787,10.213469694918595,12.699588357119323,3.109375,3.208927401141833,2.3109649294912753,4.172368569859575,1.03125,1.0449182706008813,0.7706993194048736,1.3289600486730204,3.078125,2.850750873393333,2.637509369957664,3.0810856346990896,1.90625,1.86072957804046,1.3326503060760433,2.442229845627112,2.421875,2.4932284306432426,2.0386787638233,2.967636390428171,29.1546875,29.79427698804244,23.30959684452823,35.26622874881326,62.336091309710575,38.52108491321792,77.67178995889363,8.640625,8.648281963230566,7.371138156640775,9.946651799535621,16.875,16.95034259946536,14.364497577129194,19.620173710257394,5.8125,5.744186977156915,4.986881796844081,6.5412955942181465,7.03125,6.968277647976719,6.038754576894831,7.927421593544391,0.5102128120704384,0.8243338264262151,1.801365166834401,3.069881361856721,-0.3156770100864644,0.2407823998644488,5.979613477463384,0.11084188789065365,-0.9291754349756113,1.2198349387262672,0.7975932540959448,11.975060041669746,52.775096816425254,2,0,,TOP_TIER_BLEND
Shai Gilgeous-Alexander,gilgesh01,OKC,PG,28.55852156057495,68.0,31.13235294117647,30.89072926008115,27.404611046082803,34.42968895279836,4.294117647058823,4.54795857680068,3.294758678503488,5.780877340704215,6.588235294117647,6.786945665661865,5.888983194011308,7.750386834379608,1.3970588235294117,1.3847160578271824,1.1104971066311746,1.6687578358993216,0.7647058823529411,0.7318607772630823,0.5186192738274137,0.962195538568839,1.6911764705882353,1.72974934887798,1.2016700769135635,2.3112496164646323,2.2205882352941178,2.3605343696935224,1.90598470287358,2.8349423294784506,33.21911764705882,34.11348299169952,27.62880284818531,39.58543475247034,65.98136839587332,42.16636199938067,81.31706704505636,10.75,11.01185735054143,9.734713543951639,12.310227186846484,19.426470588235293,20.009922833017747,17.42407781068158,22.679753943809782,7.9411764705882355,7.824718173481413,7.067412993168578,8.621826790542645,9.029411764705882,8.93479937653408,8.005276305452192,9.893943322101752,0.550319830937634,0.8757575681029693,3.0797621523327874,-0.26493024496663914,1.6278786281801405,1.5107198488375353,0.5106006485693415,-0.05910950919318799,-0.7175745770225346,3.049459166337756,2.9312333001681807,11.66803941324338,50.517894186312034,2,0,,TOP_TIER_BLEND
Tyrese Maxey,maxeyty01,PHI,PG,26.24229979466119,70.0,28.285714285714285,27.512448387008334,24.026330173009985,31.05140807972554,4.142857142857143,4.215324956472862,2.96212505817567,5.448243720376397,6.585714285714285,6.637645211353291,5.739682739702734,7.601086380071034,1.8571428571428572,1.769379823615385,1.4951608724193775,2.053421601687524,0.7857142857142857,0.7415876143466951,0.5283461109110265,0.9719223756524518,3.142857142857143,3.073411205096984,2.5453319331325672,3.654911472683636,2.442857142857143,2.4712842051794253,2.016734538359483,2.9456921649643535,38.01571428571428,37.69673906054886,31.212058917034646,42.0,66.7062885060454,42.89128210955275,82.0,9.914285714285715,9.706211551328263,8.429067744738472,11.004581387633317,21.442857142857143,20.983378269927183,18.397533247591017,23.65320938071922,5.314285714285714,5.302849443812652,4.545544263499817,6.099958060873883,5.957142857142857,5.984915591483285,5.055392520401397,6.944059537050957,0.46256667665563395,0.8860357949506867,2.3456254085226123,-0.42525930846662685,1.5467796179697721,2.948336395504793,0.535706338048939,1.6843384228562535,-0.8941820305833909,-0.4333270695419969,2.1087876713148423,9.416805445625197,47.58892426051252,2,0,,TOP_TIER_BLEND
Kawhi Leonard,leonaka01,LAC,SF,35.59479808350445,65.0,27.892307692307693,26.29719358833286,22.81107537433451,29.836153281050066,6.3538461538461535,6.131960540700071,4.878760642402879,7.3648793046036065,3.6,3.7750942256129587,2.8771317539624013,4.738535394330701,1.876923076923077,1.704882324140243,1.4306633729442355,1.9889241022123822,0.4153846153846154,0.4089201912015912,0.19567868776592254,0.6392549525073479,2.646153846153846,2.5366491012749215,2.0085698293105048,3.1181493688615736,2.046153846153846,2.0510609582029735,1.596511291383031,2.5254689179879017,32.066153846153846,31.371831723912784,24.887151580398573,36.843783484683605,61.576113862542925,37.76110746605028,76.91181251172597,9.76923076923077,9.381725929582938,8.104582122993147,10.680095765887993,19.353846153846153,18.63266239486712,16.046817372530953,21.302493505659154,5.707692307692308,5.346255176385839,4.588949996073003,6.143363793447071,6.4,6.032979211658828,5.103456140576941,6.992123157226501,0.5035096826617431,0.8861716556314524,2.0815374790936394,0.4985570754186119,-0.008138970157547625,2.707287768857748,-0.3229330072660517,0.9878709481119579,-0.22407216315128503,1.1073768546153688,2.1313821718349506,8.958868157357392,43.60853416341491,2,0,,TOP_TIER_BLEND
Luka Dončić,doncilu01,LAL,PG,27.926078028747433,64.0,33.484375,32.745167600154495,29.259049386156146,36.2841272928717,7.734375,7.556240540512141,6.303040642214949,8.789159304415676,8.28125,8.399228648730869,7.5012661770803115,9.36266981744861,1.640625,1.5736837552673766,1.299464804071369,1.8577255333395157,0.53125,0.5226155590263013,0.3093740555906327,0.752950320332058,3.96875,3.8277296963311995,3.299650424366783,4.409229963917852,3.984375,3.950543724494149,3.4959940576742063,4.424951684279077,35.7546875,35.96342576537904,29.47874562186483,41.435377526149864,62.54119311898913,38.72618672249648,77.87689176817217,10.828125,10.624169700033939,9.347025893444147,11.922539536338993,22.765625,22.346380719092807,19.76053569675664,25.016211829884842,7.859375,7.63092257101424,6.873617390701405,8.428031188075472,10.078125,9.785293138378265,8.855770067296376,10.744437083945936,0.475431338684596,0.7798358682874296,3.482751535314398,1.1850585730921912,2.503659982707522,2.2169550411982684,-0.029476812272848128,2.663092867333538,-3.253086273787285,0.1150858670020748,-0.48749371164177413,8.396547068946084,56.74985344025226,2,0,,TOP_TIER_BLEND
Donovan Mitchell,mitchdo01,CLE,SG,30.401095140314855,70.0,27.885714285714286,26.3549442103727,22.86882599637435,29.893903903089907,4.514285714285714,4.415379386182673,3.1621794878854814,5.648298150086209,5.685714285714286,5.597246047937841,4.699283576287284,6.560687216655584,1.4857142857142858,1.4144100408016418,1.1401910896056342,1.698451818873781,0.2857142857142857,0.288176374741957,0.07493487130628837,0.5185111360477137,3.2,3.0916067244776215,2.563527452513205,3.6731069920642736,2.8285714285714287,2.7211245903213612,2.2665749235014188,3.1955325501062894,33.462857142857146,33.1098455829442,26.625165439429992,38.581797343715024,66.0623566081963,42.24735021170365,81.39805525737934,9.685714285714285,9.36918861337527,8.092044806785479,10.667558449680325,20.042857142857144,19.40604876665351,16.820203744317343,22.075879877445544,5.314285714285714,5.143400076973325,4.38609489666049,5.940508694034557,6.142857142857143,5.975233461032113,5.045710389950226,6.934377406599785,0.48279733427625243,0.8607864630756864,2.0940873099722004,-0.32883327873220614,0.9816417369938614,1.6216961482897772,-0.6345817720761612,1.707947741294454,-1.2925905160045479,0.36482030075339544,1.5059465228832374,6.020134193374011,42.4359032020081,2,0,,TOP_TIER_BLEND
Jamal Murray,murraja01,DEN,PG,29.93839835728953,75.0,25.4,24.500847483877813,21.014729269879464,28.03980717659502,4.4,4.236077975016827,2.9828780767196355,5.468996738920363,7.133333333333334,7.02372707104589,6.125764599395333,7.9871682397636325,0.88,0.9217694730631927,0.647550521867185,1.2058112511353318,0.38666666666666666,0.3561015905375875,0.14286008710191886,0.5864363518433442,3.2666666666666666,3.1832468486894046,2.655167576724988,3.7647471162760566,2.28,2.3056935400940066,1.8511438732740642,2.780101499878935,35.36,34.736458631650066,28.251778488135855,40.20841039242089,71.46683352563699,47.65182712914434,82.0,8.76,8.62975632967336,7.352612523083568,9.928126165978414,18.133333333333333,17.881113671454216,15.295268649118052,20.55094478224625,4.613333333333333,4.5328817841513445,3.7755766038385095,5.3299904012125765,5.2,5.1443831860832745,4.214860115001387,6.103527131650947,0.4826185039833443,0.8811322213348765,1.6911721632928844,-0.4152563748345041,1.756496707085488,-0.21946565256021486,-0.45926174142891624,1.8268539856819899,-0.630122535001505,0.31937783298114264,1.6704166462218404,5.540211031438204,41.647651311175174,2,0,,TOP_TIER_BLEND
Lauri Markkanen,markkla01,UTA,PF,29.697467488021903,42.0,26.738095238095237,24.957670630884515,21.471552416886166,28.49663032360172,6.880952380952381,6.553021387446515,5.299821489149323,7.785940151350051,2.119047619047619,2.261632454684462,1.3636699830339045,3.2250736234022046,1.0,0.9519398839999813,0.6777209328039736,1.2359816620721205,0.5,0.48625716939726815,0.27301566596159954,0.7165919307030248,2.738095238095238,2.633257093303687,2.1051778213392702,3.214757360890339,1.5,1.5217590532529803,1.0672093864330379,1.9961670130379083,34.35476190476191,33.37686817772037,26.892188034206157,38.84881993849119,50.29756166917153,26.482555272678876,65.63326031835457,9.142857142857142,8.636073536033527,7.3589297294437355,9.934443372338581,19.166666666666668,18.1197770250699,15.533932002733737,20.789608135861936,5.714285714285714,5.304646307077688,4.547341126764852,6.10175492413892,6.380952380952381,5.980311576791612,5.050788505709725,6.939455522359284,0.4766103646907438,0.8870183834006166,1.7904447431170631,0.7015079712686414,-0.8302413018748573,-0.10670878321068597,-0.12332051831605538,1.1132231735565026,0.619980211175062,0.11035123682567137,2.130263048916251,5.405499781457593,39.006577084785796,2,0,,TOP_TIER_BLEND
Anthony Edwards,edwaran01,MIN,SG,25.492128678986994,61.0,28.80327868852459,27.863227312620864,24.377109098622515,31.40218700533807,4.950819672131147,4.9837218829466385,3.730521984649447,6.216640646850174,3.7049180327868854,3.817498996747502,2.9195365250969445,4.780940165465244,1.360655737704918,1.3104763306399285,1.0362573794439207,1.5945181087120677,0.8032786885245902,0.7750485118672981,0.5618070084316295,1.0053832731730548,3.360655737704918,3.2448576953508077,2.716778423386391,3.8263579629374598,2.8524590163934427,2.767615193594583,2.3130655267746407,3.2420231533795114,35.029508196721316,34.95073644794056,28.466056304426345,40.42268820871138,61.35280607689489,37.537799680402244,76.68850472607794,9.868852459016393,9.720127745937464,8.442983939347673,11.018497582242519,20.18032786885246,19.906154244821845,17.32030922248568,22.57598535561388,5.704918032786885,5.60090227408951,4.843597093776674,6.398010891150742,7.163934426229508,7.040788258137267,6.11126518705538,7.999932203704939,0.4882976202430434,0.7954936391697855,2.4218534392642304,-0.054892778780310875,0.01489501847386648,1.233261274059207,0.6220714015983405,1.9067961993471898,-1.3667268523933893,0.59394877634178,0.0028859967237101483,5.374092474634624,43.05890140120519,2,0,,TOP_TIER_BLEND
